idporto,locode,nome,localita,tipo_amministrazione_porto,rilievo_nazionale,rilevanza_nazionale,caso_speciale,note_caso_speciale,lat,lon
37225,ITCLS,Calasetta,Calasetta,NAZIONALE,SI,NO,NO,,,
16040,ITPTC,Portici,Portici,TERRITORIALE,NO,NO,NO,,,
15945,ITPAZ,Porto Azzurro,Porto Azzurro,NAZIONALE,NO,NO,NO,,,
15946,ITPCE,Porto Cervo,Porto Cervo,NAZIONALE,SI,NO,NO,,,
15948,ITPCN,Porto Conte,Porto Conte,TERRITORIALE,NO,NO,NO,,40.5833333333,8.2
17197,ITPEM,Porto Empedocle,Porto Empedocle,NAZIONALE,NO,SI,NO,,37.2843916667,13.5280138889
16042,ITPTH,Porto Ercole,Porto Ercole,TERRITORIALE,NO,NO,NO,,42.4,11.2
15954,ITPGA,Porto Garibaldi,Porto Garibaldi,TERRITORIALE,NO,NO,NO,,,
17249,ITPVT,Porto Levante,Porto Levante,NAZIONALE,NO,NO,NO,,45.0333333333,12.35
15957,ITPLI,Porto Lignano,Porto Lignano,TERRITORIALE,NO,NO,NO,,,
15962,ITPMZ,Porto Maurizio,Porto Maurizio,TERRITORIALE,NO,NO,NO,,,
15963,ITPNG,Porto Nogaro,Porto Nogaro,NAZIONALE,NO,NO,NO,,,
17245,ITPPF,Porto Palo,Porto Palo,TERRITORIALE,NO,NO,NO,,37.5833333333,12.9166666667
17246,ITPRF,Porto Recanati,Porto Recanati,TERRITORIALE,SI,NO,NO,,43.4333333333,13.6666666667
16106,ITSIG,Porto San Giorgio,Porto San Giorgio,TERRITORIALE,NO,NO,NO,,43.1833333333,13.7833333333
17248,ITPSS,Porto Santo Stefano,Porto Santo Stefano,NAZIONALE,SI,NO,NO,,,
16033,ITPPT,Porto Tolle,Porto Tolle,TERRITORIALE,NO,NO,NO,,44.95,12.3333333333
16044,ITPTO,Porto Torres,Porto Torres,NAZIONALE,NO,SI,NO,,40.8402166667,8.3997638889
16038,ITPRW,Porto Venere,Porto Venere,NAZIONALE,NO,NO,NO,,44.05,9.8333333333
15965,ITPOQ,Porto Viro,Porto Viro,NAZIONALE,SI,NO,NO,,45.0166666667,12.2166666667
15952,ITPFE,Portoferraio,Portoferraio,NAZIONALE,NO,SI,NO,,42.8126583333,10.3245333333
16041,ITPTF,Portofino,Portofino,NAZIONALE,NO,NO,NO,,,
16032,ITPPL,Portopalo,Portopalo,TERRITORIALE,NO,NO,NO,,36.6833333333,15.1333333333
17163,ITOZI,Pozzillo,Pozzillo,TERRITORIALE,NO,NO,NO,,37.65,15.1833333333
16031,ITPOZ,Pozzuoli,Pozzuoli,NAZIONALE,NO,NO,NO,,,
17198,ITPIM,Praia a Mare,Praia A Mare,TERRITORIALE,SI,NO,NO,,39.9,15.7833333333
16036,ITPRL,Priolo Gargallo,Priolo Gargallo,NAZIONALE,SI,NO,NO,,37.15,15.1833333333
16037,ITPRO,Procida,Procida,NAZIONALE,NO,NO,NO,,,
18256,ITPUC,Punta Cugno,Punta Cugno,TERRITORIALE,NO,NO,NO,,,
16080,ITRPO,Rapallo,Rapallo,TERRITORIALE,NO,NO,NO,,44.35,9.2333333333
16334,ITLLT,Savelletri,Savelletri,TERRITORIALE,NO,NO,NO,,40.8666666667,17.4
17066,ITICA,Torvaianica,Torvaianica,TERRITORIALE,NO,NO,NO,,41.6166666667,12.45
16168,ITTNI,Trani,Trani,TERRITORIALE,SI,NO,NO,,,
16170,ITTPS,Trapani,Trapani,NAZIONALE,NO,SI,NO,,38.01135,12.5181277778
15942,ITOTO,Otranto,Otranto,NAZIONALE,NO,NO,NO,,,
16086,ITAUG,Augusta,Augusta,NAZIONALE,NO,SI,NO,,37.2427972222,15.2137111111
56955,ITAV2,Avella,Avella,TERRITORIALE,NO,NO,NO,,,
16087,ITAVO,Avola,Avola,TERRITORIALE,NO,NO,NO,,,
16090,ITBCB,Bagnara Calabra,Bagnara Calabra,TERRITORIALE,NO,NO,NO,,38.2833333333,15.8
16095,ITBLN,Bagnoli,Bagnoli,TERRITORIALE,NO,NO,NO,,,
16089,ITBAI,Baia,Baia,TERRITORIALE,NO,NO,NO,,,
16104,ITBRI,Bari,Bari,NAZIONALE,NO,SI,NO,,41.1344944444,16.8640666667
